Match No.,Stage,Venue,City,Date,Day,Time IST,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,Winner Margin,Result Type
47,League,Wankhede Stadium,Mumbai,4-May,Mon,7:30 PM,Mumbai Indians,229/4 (18.4 OV),Lucknow Super Giants,228/5 (20.0 OV),Mumbai Indians,6 Wickets,Won
48,League,Arun Jaitley Stadium,Delhi,5-May,Tue,7:30 PM,Chennai Super Kings,159/2 (17.3 OV),Delhi Capitals,155/7 (20.0 OV),Chennai Super Kings,8 Wickets,Won
49,League,Rajiv Gandhi International Stadium,Hyderabad,6-May,Wed,7:30 PM,Sunrisers Hyderabad,235/4 (20.0 OV),Punjab Kings,202/7 (20.0 OV),Sunrisers Hyderabad,33 Runs,Won
50,League,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,7-May,Thu,7:30 PM,Lucknow Super Giants,209/3 (19.0 OV),Royal Challengers Bengaluru,203/6 (19.0 OV),Lucknow Super Giants,9 Runs,Won (D/L)
51,League,Arun Jaitley Stadium,Delhi,8-May,Fri,7:30 PM,Kolkata Knight Riders,147/2 (14.2 OV),Delhi Capitals,142/8 (20.0 OV),Kolkata Knight Riders,8 Wickets,Won
52,League,Sawai Mansingh Stadium,Jaipur,9-May,Sat,7:30 PM,Gujarat Titans,229/4 (20.0 OV),Rajasthan Royals,152 (16.3 OV),Gujarat Titans,77 Runs,Won
53,League,MA Chidambaram Stadium,Chennai,10-May,Sun,3:30 PM,Chennai Super Kings,208/5 (19.2 OV),Lucknow Super Giants,203/8 (20.0 OV),Chennai Super Kings,5 Wickets,Won
54,League,Shaheed Veer Narayan Singh International Cricket Stadium,Raipur,10-May,Sun,7:30 PM,Royal Challengers Bengaluru,167/8 (20.0 OV),Mumbai Indians,166/7 (20.0 OV),Royal Challengers Bengaluru,2 Wickets,Won
55,League,Himachal Pradesh Cricket Association Stadium,Dharamshala,11-May,Mon,7:30 PM,Delhi Capitals,216/7 (19.0 OV),Punjab Kings,210/5 (20.0 OV),Delhi Capitals,3 Wickets,Won
56,League,Narendra Modi Stadium,Ahmedabad,12-May,Tue,7:30 PM,Gujarat Titans,168/5 (20.0 OV),Sunrisers Hyderabad,86 (14.5 OV),Gujarat Titans,82 Runs,Won
57,League,Shaheed Veer Narayan Singh International Cricket Stadium,Raipur,13-May,Wed,7:30 PM,Royal Challengers Bengaluru,194/4 (19.1 OV),Kolkata Knight Riders,192/4 (20.0 OV),Royal Challengers Bengaluru,6 Wickets,Won
58,League,Himachal Pradesh Cricket Association Stadium,Dharamshala,14-May,Thu,7:30 PM,Mumbai Indians,205/4 (19.5 OV),Punjab Kings,200/8 (20.0 OV),Mumbai Indians,6 Wickets,Won
59,League,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,15-May,Fri,7:30 PM,Lucknow Super Giants,188/3 (16.4 OV),Chennai Super Kings,187/5 (20.0 OV),Lucknow Super Giants,7 Wickets,Won
60,League,Eden Gardens,Kolkata,16-May,Sat,7:30 PM,Kolkata Knight Riders,247/2 (20.0 OV),Gujarat Titans,218/4 (20.0 OV),Kolkata Knight Riders,29 Runs,Won
61,League,Himachal Pradesh Cricket Association Stadium,Dharamshala,17-May,Sun,3:30 PM,Royal Challengers Bengaluru,222/4 (20.0 OV),Punjab Kings,199/8 (20.0 OV),Royal Challengers Bengaluru,23 Runs,Won
62,League,Arun Jaitley Stadium,Delhi,17-May,Sun,7:30 PM,Delhi Capitals,197/5 (19.2 OV),Rajasthan Royals,193/8 (20.0 OV),Delhi Capitals,5 Wickets,Won
63,League,MA Chidambaram Stadium,Chennai,18-May,Mon,7:30 PM,Sunrisers Hyderabad,181/5 (19.0 OV),Chennai Super Kings,180/7 (20.0 OV),Sunrisers Hyderabad,5 Wickets,Won
64,League,Sawai Mansingh Stadium,Jaipur,19-May,Tue,7:30 PM,Rajasthan Royals,225/3 (19.1 OV),Lucknow Super Giants,220/5 (20.0 OV),Rajasthan Royals,7 Wickets,Won
65,League,Eden Gardens,Kolkata,20-May,Wed,7:30 PM,Kolkata Knight Riders,148/6 (18.5 OV),Mumbai Indians,147/8 (20.0 OV),Kolkata Knight Riders,4 Wickets,Won
66,League,Narendra Modi Stadium,Ahmedabad,21-May,Thu,7:30 PM,Gujarat Titans,229/4 (20.0 OV),Chennai Super Kings,140 (13.4 OV),Gujarat Titans,89 Runs,Won
67,League,Rajiv Gandhi International Stadium,Hyderabad,22-May,Fri,7:30 PM,Sunrisers Hyderabad,255/4 (20.0 OV),Royal Challengers Bengaluru,200/4 (20.0 OV),Sunrisers Hyderabad,55 Runs,Won
68,League,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,23-May,Sat,7:30 PM,Punjab Kings,200/3 (18.0 OV),Lucknow Super Giants,196/6 (20.0 OV),Punjab Kings,7 Wickets,Won
69,League,Wankhede Stadium,Mumbai,24-May,Sun,3:30 PM,Rajasthan Royals,205/8 (20.0 OV),Mumbai Indians,175/9 (20.0 OV),Rajasthan Royals,30 Runs,Won
70,League,Eden Gardens,Kolkata,24-May,Sun,7:30 PM,Delhi Capitals,203/5 (20.0 OV),Kolkata Knight Riders,163 (18.4 OV),Delhi Capitals,40 Runs,Won
Qualifier 1,Qualifier 1,Himachal Pradesh Cricket Association Stadium,Dharamshala,26-May,Tue,7:30 PM,Royal Challengers Bengaluru,254/5 (20.0 OV),Gujarat Titans,162 (19.3 OV),Royal Challengers Bengaluru,92 Runs,Won (Qualified)
Eliminator,Eliminator,New International Cricket Stadium,New Chandigarh,27-May,Wed,7:30 PM,Rajasthan Royals,243/8 (20.0 OV),Sunrisers Hyderabad,196 (19.2 OV),Rajasthan Royals,47 Runs,Won (Qualified)
Qualifier 2,Qualifier 2,New International Cricket Stadium,New Chandigarh,29-May,Fri,7:30 PM,Gujarat Titans,219/3 (18.4 OV),Rajasthan Royals,214/6 (20.0 OV),Gujarat Titans,7 Wickets,Won (Qualified)
Final,Final,Narendra Modi Stadium,Ahmedabad,31-May,Sun,7:30 PM,Royal Challengers Bengaluru,161/5 (18.0 OV),Gujarat Titans,155/8 (20.0 OV),Royal Challengers Bengaluru,5 Wickets,Won (Winners)
